sub_0
Epoch: [53/2000], classify_loss: 0.9771, domain_loss_s: 0.7068, domain_loss_t: 0.6751, domain_loss: 1.3819,total_loss: 2.3590, accurance: 0.4015
Epoch: [54/2000], classify_loss: 0.9754, domain_loss_s: 0.7065, domain_loss_t: 0.6750, domain_loss: 1.3815,total_loss: 2.3569, accurance: 0.4024
Epoch: [55/2000], classify_loss: 0.9736, domain_loss_s: 0.7062, domain_loss_t: 0.6749, domain_loss: 1.3811,total_loss: 2.3547, accurance: 0.4024
Epoch: [56/2000], classify_loss: 0.9719, domain_loss_s: 0.7058, domain_loss_t: 0.6749, domain_loss: 1.3807,total_loss: 2.3526, accurance: 0.4030
Epoch: [57/2000], classify_loss: 0.9702, domain_loss_s: 0.7055, domain_loss_t: 0.6748, domain_loss: 1.3803,total_loss: 2.3506, accurance: 0.4036
Epoch: [58/2000], classify_loss: 0.9686, domain_loss_s: 0.7052, domain_loss_t: 0.6748, domain_loss: 1.3800,total_loss: 2.3485, accurance: 0.4048
Epoch: [59/2000], classify_loss: 0.9669, domain_loss_s: 0.7049, domain_loss_t: 0.6747, domain_loss: 1.3796,total_loss: 2.3465, accurance: 0.4048
Epoch: [60/2000], classify_loss: 0.9653, domain_loss_s: 0.7046, domain_loss_t: 0.6747, domain_loss: 1.3792,total_loss: 2.3445, accurance: 0.4054
Epoch: [61/2000], classify_loss: 0.9637, domain_loss_s: 0.7043, domain_loss_t: 0.6746, domain_loss: 1.3789,total_loss: 2.3425, accurance: 0.4059
Epoch: [62/2000], classify_loss: 0.9621, domain_loss_s: 0.7040, domain_loss_t: 0.6746, domain_loss: 1.3786,total_loss: 2.3406, accurance: 0.4071
Epoch: [63/2000], classify_loss: 0.9605, domain_loss_s: 0.7037, domain_loss_t: 0.6745, domain_loss: 1.3782,total_loss: 2.3387, accurance: 0.4080
Epoch: [64/2000], classify_loss: 0.9589, domain_loss_s: 0.7034, domain_loss_t: 0.6745, domain_loss: 1.3779,total_loss: 2.3368, accurance: 0.4083
Epoch: [65/2000], classify_loss: 0.9573, domain_loss_s: 0.7031, domain_loss_t: 0.6745, domain_loss: 1.3776,total_loss: 2.3349, accurance: 0.4086
Epoch: [66/2000], classify_loss: 0.9557, domain_loss_s: 0.7028, domain_loss_t: 0.6745, domain_loss: 1.3772,total_loss: 2.3330, accurance: 0.4092
Epoch: [67/2000], classify_loss: 0.9542, domain_loss_s: 0.7025, domain_loss_t: 0.6744, domain_loss: 1.3769,total_loss: 2.3311, accurance: 0.4104
Epoch: [68/2000], classify_loss: 0.9526, domain_loss_s: 0.7022, domain_loss_t: 0.6744, domain_loss: 1.3766,total_loss: 2.3292, accurance: 0.4107
Epoch: [69/2000], classify_loss: 0.9511, domain_loss_s: 0.7019, domain_loss_t: 0.6744, domain_loss: 1.3763,total_loss: 2.3274, accurance: 0.4121
Epoch: [70/2000], classify_loss: 0.9495, domain_loss_s: 0.7017, domain_loss_t: 0.6744, domain_loss: 1.3760,total_loss: 2.3255, accurance: 0.4127
Epoch: [71/2000], classify_loss: 0.9480, domain_loss_s: 0.7014, domain_loss_t: 0.6744, domain_loss: 1.3757,total_loss: 2.3237, accurance: 0.4133
Epoch: [72/2000], classify_loss: 0.9464, domain_loss_s: 0.7011, domain_loss_t: 0.6744, domain_loss: 1.3755,total_loss: 2.3219, accurance: 0.4139
Epoch: [73/2000], classify_loss: 0.9449, domain_loss_s: 0.7008, domain_loss_t: 0.6743, domain_loss: 1.3752,total_loss: 2.3201, accurance: 0.4142
Epoch: [74/2000], classify_loss: 0.9434, domain_loss_s: 0.7006, domain_loss_t: 0.6743, domain_loss: 1.3749,total_loss: 2.3183, accurance: 0.4148
