sub_0
Epoch: [59/1000], classify_loss: 0.9416, domain_loss_s: 0.6703, domain_loss_t: 0.7323, domain_loss: 1.4026,total_loss: 2.3442, acc_loss: 0.3948
Epoch: [60/1000], classify_loss: 0.9400, domain_loss_s: 0.6706, domain_loss_t: 0.7321, domain_loss: 1.4026,total_loss: 2.3427, acc_loss: 0.3951
Epoch: [61/1000], classify_loss: 0.9384, domain_loss_s: 0.6709, domain_loss_t: 0.7319, domain_loss: 1.4027,total_loss: 2.3412, acc_loss: 0.3951
Epoch: [62/1000], classify_loss: 0.9368, domain_loss_s: 0.6712, domain_loss_t: 0.7317, domain_loss: 1.4029,total_loss: 2.3397, acc_loss: 0.3953
Epoch: [63/1000], classify_loss: 0.9353, domain_loss_s: 0.6715, domain_loss_t: 0.7315, domain_loss: 1.4030,total_loss: 2.3383, acc_loss: 0.3956
Epoch: [64/1000], classify_loss: 0.9337, domain_loss_s: 0.6718, domain_loss_t: 0.7313, domain_loss: 1.4031,total_loss: 2.3369, acc_loss: 0.3956
Epoch: [65/1000], classify_loss: 0.9322, domain_loss_s: 0.6721, domain_loss_t: 0.7312, domain_loss: 1.4033,total_loss: 2.3355, acc_loss: 0.3968
Epoch: [66/1000], classify_loss: 0.9307, domain_loss_s: 0.6724, domain_loss_t: 0.7310, domain_loss: 1.4035,total_loss: 2.3342, acc_loss: 0.3971
Epoch: [67/1000], classify_loss: 0.9292, domain_loss_s: 0.6727, domain_loss_t: 0.7309, domain_loss: 1.4036,total_loss: 2.3329, acc_loss: 0.3980
Epoch: [68/1000], classify_loss: 0.9278, domain_loss_s: 0.6731, domain_loss_t: 0.7307, domain_loss: 1.4038,total_loss: 2.3316, acc_loss: 0.3986
Epoch: [69/1000], classify_loss: 0.9263, domain_loss_s: 0.6734, domain_loss_t: 0.7306, domain_loss: 1.4040,total_loss: 2.3303, acc_loss: 0.3986
Epoch: [70/1000], classify_loss: 0.9249, domain_loss_s: 0.6737, domain_loss_t: 0.7305, domain_loss: 1.4042,total_loss: 2.3291, acc_loss: 0.3989
Epoch: [71/1000], classify_loss: 0.9234, domain_loss_s: 0.6741, domain_loss_t: 0.7304, domain_loss: 1.4044,total_loss: 2.3279, acc_loss: 0.3995
Epoch: [72/1000], classify_loss: 0.9220, domain_loss_s: 0.6744, domain_loss_t: 0.7302, domain_loss: 1.4047,total_loss: 2.3267, acc_loss: 0.4018
Epoch: [73/1000], classify_loss: 0.9206, domain_loss_s: 0.6748, domain_loss_t: 0.7301, domain_loss: 1.4049,total_loss: 2.3255, acc_loss: 0.4033
Epoch: [74/1000], classify_loss: 0.9192, domain_loss_s: 0.6751, domain_loss_t: 0.7300, domain_loss: 1.4051,total_loss: 2.3244, acc_loss: 0.4045
Epoch: [75/1000], classify_loss: 0.9178, domain_loss_s: 0.6755, domain_loss_t: 0.7299, domain_loss: 1.4054,total_loss: 2.3233, acc_loss: 0.4045
Epoch: [76/1000], classify_loss: 0.9165, domain_loss_s: 0.6758, domain_loss_t: 0.7298, domain_loss: 1.4057,total_loss: 2.3222, acc_loss: 0.4048
Epoch: [77/1000], classify_loss: 0.9151, domain_loss_s: 0.6762, domain_loss_t: 0.7298, domain_loss: 1.4059,total_loss: 2.3211, acc_loss: 0.4065
Epoch: [78/1000], classify_loss: 0.9138, domain_loss_s: 0.6765, domain_loss_t: 0.7297, domain_loss: 1.4062,total_loss: 2.3200, acc_loss: 0.4077
Epoch: [79/1000], classify_loss: 0.9125, domain_loss_s: 0.6769, domain_loss_t: 0.7296, domain_loss: 1.4065,total_loss: 2.3190, acc_loss: 0.4086
Epoch: [80/1000], classify_loss: 0.9111, domain_loss_s: 0.6773, domain_loss_t: 0.7296, domain_loss: 1.4068,total_loss: 2.3180, acc_loss: 0.4107
Epoch: [81/1000], classify_loss: 0.9098, domain_loss_s: 0.6776, domain_loss_t: 0.7295, domain_loss: 1.4072,total_loss: 2.3170, acc_loss: 0.4130
Epoch: [82/1000], classify_loss: 0.9085, domain_loss_s: 0.6780, domain_loss_t: 0.7295, domain_loss: 1.4075,total_loss: 2.3160, acc_loss: 0.4154
Epoch: [83/1000], classify_loss: 0.9072, domain_loss_s: 0.6784, domain_loss_t: 0.7294, domain_loss: 1.4078,total_loss: 2.3150, acc_loss: 0.4168
Epoch: [84/1000], classify_loss: 0.9060, domain_loss_s: 0.6787, domain_loss_t: 0.7294, domain_loss: 1.4082,total_loss: 2.3141, acc_loss: 0.4177
Epoch: [85/1000], classify_loss: 0.9047, domain_loss_s: 0.6791, domain_loss_t: 0.7294, domain_loss: 1.4085,total_loss: 2.3132, acc_loss: 0.4192
Epoch: [86/1000], classify_loss: 0.9034, domain_loss_s: 0.6795, domain_loss_t: 0.7294, domain_loss: 1.4089,total_loss: 2.3123, acc_loss: 0.4207
Epoch: [87/1000], classify_loss: 0.9022, domain_loss_s: 0.6799, domain_loss_t: 0.7294, domain_loss: 1.4092,total_loss: 2.3114, acc_loss: 0.4230
Epoch: [88/1000], classify_loss: 0.9010, domain_loss_s: 0.6803, domain_loss_t: 0.7293, domain_loss: 1.4096,total_loss: 2.3106, acc_loss: 0.4239
Epoch: [89/1000], classify_loss: 0.8997, domain_loss_s: 0.6807, domain_loss_t: 0.7294, domain_loss: 1.4100,total_loss: 2.3097, acc_loss: 0.4254
Epoch: [90/1000], classify_loss: 0.8985, domain_loss_s: 0.6810, domain_loss_t: 0.7294, domain_loss: 1.4104,total_loss: 2.3089, acc_loss: 0.4277
Epoch: [91/1000], classify_loss: 0.8973, domain_loss_s: 0.6814, domain_loss_t: 0.7294, domain_loss: 1.4108,total_loss: 2.3081, acc_loss: 0.4292
Epoch: [92/1000], classify_loss: 0.8961, domain_loss_s: 0.6818, domain_loss_t: 0.7294, domain_loss: 1.4112,total_loss: 2.3073, acc_loss: 0.4301
Epoch: [93/1000], classify_loss: 0.8949, domain_loss_s: 0.6822, domain_loss_t: 0.7294, domain_loss: 1.4116,total_loss: 2.3065, acc_loss: 0.4310
Epoch: [94/1000], classify_loss: 0.8937, domain_loss_s: 0.6826, domain_loss_t: 0.7295, domain_loss: 1.4121,total_loss: 2.3058, acc_loss: 0.4330
Epoch: [95/1000], classify_loss: 0.8925, domain_loss_s: 0.6830, domain_loss_t: 0.7295, domain_loss: 1.4125,total_loss: 2.3050, acc_loss: 0.4339
Epoch: [96/1000], classify_loss: 0.8914, domain_loss_s: 0.6834, domain_loss_t: 0.7295, domain_loss: 1.4129,total_loss: 2.3043, acc_loss: 0.4357
Epoch: [97/1000], classify_loss: 0.8902, domain_loss_s: 0.6838, domain_loss_t: 0.7295, domain_loss: 1.4133,total_loss: 2.3035, acc_loss: 0.4363
Epoch: [98/1000], classify_loss: 0.8891, domain_loss_s: 0.6842, domain_loss_t: 0.7296, domain_loss: 1.4138,total_loss: 2.3028, acc_loss: 0.4374
Epoch: [99/1000], classify_loss: 0.8879, domain_loss_s: 0.6846, domain_loss_t: 0.7296, domain_loss: 1.4142,total_loss: 2.3021, acc_loss: 0.4392
Epoch: [100/1000], classify_loss: 0.8868, domain_loss_s: 0.6850, domain_loss_t: 0.7296, domain_loss: 1.4146,total_loss: 2.3014, acc_loss: 0.4410
Epoch: [101/1000], classify_loss: 0.8856, domain_loss_s: 0.6854, domain_loss_t: 0.7296, domain_loss: 1.4150,total_loss: 2.3006, acc_loss: 0.4419
Epoch: [102/1000], classify_loss: 0.8845, domain_loss_s: 0.6858, domain_loss_t: 0.7296, domain_loss: 1.4154,total_loss: 2.2999, acc_loss: 0.4439
Epoch: [103/1000], classify_loss: 0.8834, domain_loss_s: 0.6862, domain_loss_t: 0.7296, domain_loss: 1.4158,total_loss: 2.2992, acc_loss: 0.4442
Epoch: [104/1000], classify_loss: 0.8823, domain_loss_s: 0.6867, domain_loss_t: 0.7296, domain_loss: 1.4162,total_loss: 2.2985, acc_loss: 0.4457
Epoch: [105/1000], classify_loss: 0.8812, domain_loss_s: 0.6871, domain_loss_t: 0.7296, domain_loss: 1.4167,total_loss: 2.2979, acc_loss: 0.4463
Epoch: [106/1000], classify_loss: 0.8801, domain_loss_s: 0.6875, domain_loss_t: 0.7296, domain_loss: 1.4171,total_loss: 2.2972, acc_loss: 0.4480
Epoch: [107/1000], classify_loss: 0.8790, domain_loss_s: 0.6879, domain_loss_t: 0.7296, domain_loss: 1.4175,total_loss: 2.2965, acc_loss: 0.4492
Epoch: [108/1000], classify_loss: 0.8780, domain_loss_s: 0.6883, domain_loss_t: 0.7296, domain_loss: 1.4179,total_loss: 2.2958, acc_loss: 0.4501
Epoch: [109/1000], classify_loss: 0.8769, domain_loss_s: 0.6887, domain_loss_t: 0.7296, domain_loss: 1.4183,total_loss: 2.2952, acc_loss: 0.4516
Epoch: [110/1000], classify_loss: 0.8758, domain_loss_s: 0.6891, domain_loss_t: 0.7296, domain_loss: 1.4187,total_loss: 2.2945, acc_loss: 0.4548
Epoch: [111/1000], classify_loss: 0.8748, domain_loss_s: 0.6895, domain_loss_t: 0.7296, domain_loss: 1.4191,total_loss: 2.2939, acc_loss: 0.4557
Epoch: [112/1000], classify_loss: 0.8738, domain_loss_s: 0.6899, domain_loss_t: 0.7296, domain_loss: 1.4195,total_loss: 2.2933, acc_loss: 0.4569
Epoch: [113/1000], classify_loss: 0.8727, domain_loss_s: 0.6903, domain_loss_t: 0.7296, domain_loss: 1.4199,total_loss: 2.2926, acc_loss: 0.4575
Epoch: [114/1000], classify_loss: 0.8717, domain_loss_s: 0.6907, domain_loss_t: 0.7297, domain_loss: 1.4203,total_loss: 2.2920, acc_loss: 0.4586
Epoch: [115/1000], classify_loss: 0.8707, domain_loss_s: 0.6911, domain_loss_t: 0.7297, domain_loss: 1.4207,total_loss: 2.2914, acc_loss: 0.4610
Epoch: [116/1000], classify_loss: 0.8697, domain_loss_s: 0.6915, domain_loss_t: 0.7297, domain_loss: 1.4212,total_loss: 2.2908, acc_loss: 0.4610
Epoch: [117/1000], classify_loss: 0.8687, domain_loss_s: 0.6919, domain_loss_t: 0.7297, domain_loss: 1.4216,total_loss: 2.2902, acc_loss: 0.4616
Epoch: [118/1000], classify_loss: 0.8677, domain_loss_s: 0.6923, domain_loss_t: 0.7298, domain_loss: 1.4220,total_loss: 2.2897, acc_loss: 0.4642
Epoch: [119/1000], classify_loss: 0.8667, domain_loss_s: 0.6926, domain_loss_t: 0.7298, domain_loss: 1.4224,total_loss: 2.2891, acc_loss: 0.4660
Epoch: [120/1000], classify_loss: 0.8657, domain_loss_s: 0.6930, domain_loss_t: 0.7298, domain_loss: 1.4229,total_loss: 2.2886, acc_loss: 0.4675
Epoch: [121/1000], classify_loss: 0.8647, domain_loss_s: 0.6934, domain_loss_t: 0.7299, domain_loss: 1.4233,total_loss: 2.2880, acc_loss: 0.4698
Epoch: [122/1000], classify_loss: 0.8638, domain_loss_s: 0.6938, domain_loss_t: 0.7299, domain_loss: 1.4237,total_loss: 2.2875, acc_loss: 0.4710
Epoch: [123/1000], classify_loss: 0.8628, domain_loss_s: 0.6942, domain_loss_t: 0.7300, domain_loss: 1.4242,total_loss: 2.2870, acc_loss: 0.4722
Epoch: [124/1000], classify_loss: 0.8619, domain_loss_s: 0.6946, domain_loss_t: 0.7300, domain_loss: 1.4246,total_loss: 2.2865, acc_loss: 0.4731
Epoch: [125/1000], classify_loss: 0.8609, domain_loss_s: 0.6950, domain_loss_t: 0.7301, domain_loss: 1.4251,total_loss: 2.2860, acc_loss: 0.4737
Epoch: [126/1000], classify_loss: 0.8600, domain_loss_s: 0.6953, domain_loss_t: 0.7301, domain_loss: 1.4255,total_loss: 2.2855, acc_loss: 0.4751
Epoch: [127/1000], classify_loss: 0.8591, domain_loss_s: 0.6957, domain_loss_t: 0.7302, domain_loss: 1.4259,total_loss: 2.2850, acc_loss: 0.4757
Epoch: [128/1000], classify_loss: 0.8581, domain_loss_s: 0.6961, domain_loss_t: 0.7302, domain_loss: 1.4263,total_loss: 2.2845, acc_loss: 0.4766
