sub_0
Epoch: [67/1000], classify_loss: 0.0497, domain_loss_s: 0.7071, domain_loss_t: 0.7155, domain_loss: 1.4226,total_loss: 1.4723, accurance: 0.7984
Epoch: [68/1000], classify_loss: 0.0482, domain_loss_s: 0.7037, domain_loss_t: 0.7136, domain_loss: 1.4172,total_loss: 1.4655, accurance: 0.8010
Epoch: [69/1000], classify_loss: 0.0469, domain_loss_s: 0.7008, domain_loss_t: 0.7110, domain_loss: 1.4118,total_loss: 1.4586, accurance: 0.8025
Epoch: [70/1000], classify_loss: 0.0455, domain_loss_s: 0.6987, domain_loss_t: 0.7082, domain_loss: 1.4069,total_loss: 1.4524, accurance: 0.8145
Epoch: [71/1000], classify_loss: 0.0442, domain_loss_s: 0.6974, domain_loss_t: 0.7054, domain_loss: 1.4029,total_loss: 1.4471, accurance: 0.8254
Epoch: [72/1000], classify_loss: 0.0429, domain_loss_s: 0.6967, domain_loss_t: 0.7028, domain_loss: 1.3995,total_loss: 1.4424, accurance: 0.8275
Epoch: [73/1000], classify_loss: 0.0417, domain_loss_s: 0.6961, domain_loss_t: 0.6999, domain_loss: 1.3960,total_loss: 1.4377, accurance: 0.8193
Epoch: [74/1000], classify_loss: 0.0405, domain_loss_s: 0.6956, domain_loss_t: 0.6973, domain_loss: 1.3928,total_loss: 1.4333, accurance: 0.8107
Epoch: [75/1000], classify_loss: 0.0393, domain_loss_s: 0.6951, domain_loss_t: 0.6954, domain_loss: 1.3905,total_loss: 1.4297, accurance: 0.7969
Epoch: [76/1000], classify_loss: 0.0381, domain_loss_s: 0.6948, domain_loss_t: 0.6942, domain_loss: 1.3890,total_loss: 1.4271, accurance: 0.7830
Epoch: [77/1000], classify_loss: 0.0370, domain_loss_s: 0.6945, domain_loss_t: 0.6931, domain_loss: 1.3876,total_loss: 1.4246, accurance: 0.7757
Epoch: [78/1000], classify_loss: 0.0359, domain_loss_s: 0.6944, domain_loss_t: 0.6924, domain_loss: 1.3867,total_loss: 1.4226, accurance: 0.7701
